Total Volume,4046,Small Bags,Total Bags,Large Bags,4225,4770,AveragePrice
64236.62,1036.74,8603.62,8696.87,93.25,54454.85,48.16,1.33
405898.44,306587.86,42126.47,53888.32,11720.3,41906.78,3515.48,1.15
657745.9,55284.8,188374.49,192522.26,4147.77,367670.93,42267.91,1.26
485706.68,5145.86,97513.23,101909.89,4396.66,378295.9,355.03,1.14
137050.23,932.52,73414.91,74392.69,977.78,61668.49,56.53,1.35
139917.89,29500.04,33273.25,35054.76,1781.51,55520.58,19842.51,0.98
791332.34,26653.29,83728.75,88152.13,3516.34,577460.34,99066.58,1.12
226951.64,3610.46,14963.96,47259.72,28229.86,157400.74,18680.72,0.89
1104602.14,491729.14,107305.26,122784.54,15396.93,439095.32,50993.14,0.82
735145.02,148762.57,49343.56,115631.98,66285.96,454026.16,16724.31,1.08
117645.69,3809.88,38257.02,40989.06,2231.37,69582.68,3264.07,1.24
3436864.41,449090.82,535843.25,690083.05,110898.39,1843047.36,454643.18,1.12
191040.19,32241.22,73386.08,74589.1,1203.02,83702.91,506.96,1.2
968988.09,383218.43,61098.51,110005.86,48907.35,458982.9,16780.9,0.86
178889.83,18025.82,21559.51,40171.15,17453.1,113204.3,7488.56,1.13
244024.83,94777.64,30201.26,30694.05,492.79,107758.8,10794.34,0.89
2652480.7,1707544.28,298568.77,312825.5,11398.26,548712.47,83398.45,1.03
80537.77,3843.22,11567.45,24814.08,12926.67,50486.3,1394.17,1.13
2447264.74,555127.12,479718.29,560915.88,76793.78,1122683.82,208537.92,1.13
166556.79,117295.03,21480.56,24976.5,3495.94,8599.82,15685.44,1.08
999169.64,13652.41,139508.76,170082.08,30573.32,814571.57,863.58,1.16
4855273.71,122190.4,1208641.02,1312115.77,102680.02,3328289.46,92678.08,1.24
363935.24,4606.01,50014.8,50852.58,837.78,308443.03,33.62,1.03
454795.64,15898.8,78976.79,91927.28,12950.49,346217.39,752.17,1.19
1366844.88,1097285.22,44646.67,97564.37,52917.7,164460.99,7534.3,0.51
1281613.28,584490.6,260079.65,278062.6,16838.2,403638.25,15421.83,1.1
508174.09,196765.08,66557.46,66678.86,98.42,223128.51,21601.64,1.16
344288.82,79507.9,41191.91,61014.39,19822.48,115316.24,88450.29,0.99
131197.71,42757.3,33001.48,33050.28,42.7,55250.67,139.46,1.09
382583.75,119295.38,41625.86,41668.76,42.9,208546.45,13073.16,1.24
775848.72,165884.02,63811.01,64629.08,780,517366.37,27969.25,0.99
577605,178641.03,110537.43,110588.9,31.33,272213.83,16161.24,1.19
311348.31,187805.04,45690.04,64163.71,18473.67,46947.97,12431.59,1.06
2544630.5,1422797.76,489650.49,625962.12,136184.25,464251.81,31618.81,1.19
73681.06,30529.69,10090.7,10175.14,84.44,29902.8,3073.43,1.15
55560.09,645.86,16690.52,17112.74,422.22,37788.65,12.84,1.23
294964.3,152836.19,82324.41,100710.16,18385.75,39330.6,2087.35,1.17
29043458.85,11858139.34,3873041.26,4652069.81,771093.2,11701947.8,831301.9,1.03
740213.87,535570.33,87927.36,91202.45,3275.09,100108.86,13332.23,0.8
92529.27,808.5,13037.43,13537.86,500.43,78146.18,36.73,1.49
522546.62,58412.45,130682.92,131613.96,565.76,304616.52,27903.69,1.86
95948.06,31280,59206.93,59233.89,8.8,5422.61,11.56,0.63
536674.53,4120.09,127177.65,127359.91,182.26,391873.45,13321.08,1.15
6538335.89,2200099.61,1476927.5,1580994.73,73032.78,2538994.07,218247.48,1.07
205367.45,33581.86,45426.62,51414.29,5987.67,101739.82,18631.48,1.15
273804,2790.12,18785.57,175195,156407.87,94637.5,1181.38,0.96
201747.62,95063.05,53230.25,61912.03,6885.94,36787.21,7985.33,0.93
1191927.54,551921.61,144358.85,148481.17,3764.81,411340.37,80184.39,0.78
352764.25,127164.35,124979.56,144425.73,18669.46,60621.61,20552.56,1.13
149119.51,2180.17,43482.47,53137.07,9621.76,91194.54,2607.73,1.15
205728.4,43579.25,65296.73,66008.31,711.58,95964.8,176.04,1.49
296893.56,3701.05,66397.8,68408.08,940.28,224262.53,521.9,1.26
135848.61,9560.82,39632.2,65224.03,25547.03,59100.87,1962.89,1.13
152777.16,67403.11,25243.34,53079.47,23054.74,31854.3,440.28,1.23
311402.83,139919.03,51367.6,78473.92,27106.32,86200.19,6809.69,0.91
78262.36,1705.62,11916.09,39414.77,27498.68,36812.98,328.99,1.15
889357.25,408466.47,64835.66,252980.9,185705.24,227686.36,223.52,0.88
158024.16,66411.85,57450.73,75236.16,16375.43,16272.07,104.08,0.92
261491.83,127608.67,68532.55,91876.03,10508.48,41610.13,397,1.16
1594427.98,18295.61,249147.27,291647.6,42500.33,1282457.13,2027.64,1.15
291185.37,18423.35,47207.35,47210.91,3.56,222357.93,3193.18,1.52
432737.31,213997.13,60411.28,137892.73,77481.45,80588.36,259.09,0.95
1056806.44,508911.67,154962.56,307363.95,152350,226307.94,14222.88,0.67
113655.96,1416.4,39074.78,56179.81,10590.03,54927.04,1132.71,1.25
1672884.28,784111.14,325916.64,364852.4,37205.76,499720.63,24200.11,1.03
255043.21,88405.04,77829.34,80443.83,2614.49,70494.6,15699.74,1.35
283660.1,67526.83,77132.4,77191.57,2.67,132271.16,6670.54,0.95
315955.99,110569.37,45560.08,47267.51,382.43,156812.81,1306.3,1.29
604082.24,186258.97,171944.56,192335.73,19129.5,204704.57,20782.97,0.98
696959.32,200199.01,98394.37,99110.59,688.22,357790.26,39859.46,1.34
331549.04,153616.97,75354.15,109273.59,33919.44,62717.83,5940.65,1.12
6893900.54,3348754.08,1161263.73,1515562.48,346494.76,1465437.6,564146.38,0.7
49762.2,8071.55,23852.61,23871.15,13.46,17786.23,33.27,1.49
348135.49,65689.33,225966.72,260500.63,21420.64,21478.32,467.21,0.76
90935.19,1462.82,28032.92,28741.81,708.89,60707.3,23.26,1.28
34126730.95,12962762.94,8199580.75,10271369.65,2016484.84,10380438.09,512160.27,1.08
7592473.98,2283526.35,1944100.53,3065692.14,1112775.44,2074920.94,168334.55,0.77
62977,2413,5059,11426,6368,49076,62,1.5
507337.7,233475.62,138657.24,215484.32,69372.08,57935.64,442.12,1.19
721257.38,96158.54,169659.38,180991.86,10733.87,434568.32,9538.66,1.38
451608.73,16621.16,76160.93,110789.31,34628.38,322931.92,1266.34,1.61
139635.02,1486.31,63239.7,65928.68,2270.93,72163.62,56.41,1.71
7175276.66,2266313.37,1762033.74,1940375.45,151333.95,2877688.31,90899.53,0.89
674811.14,91477.74,79635.38,93275.15,9073.11,349704,140354.25,1.88
290569.6,7282.55,33461.38,209328.62,175820.25,72866.01,1092.42,1.01
958421,561075,137522,226238,88658,167540,3568,0.94
813544.33,124815.87,167076.97,480713.07,313376.38,182812.48,25202.91,1.19
475602.7,148920.01,212979.31,228724.02,14028.85,87966.44,9992.23,0.74
2289168.77,444534.18,599057.03,895149.49,269972.31,780137.97,169347.13,1.89
239036.52,52237.47,90107.34,91634.18,1469.9,95012.5,152.37,1.54
1391181.63,564063.25,527743.84,613923.51,86179.67,209000.62,4194.25,0.78
154354.18,7053.96,36182.69,78243.7,40113.9,68255.91,800.61,1.49
149813.32,81656.27,20444.62,51980.34,31040.72,16051.23,125.48,1.62
2626121,1225567,851550,914474,23684,413517,72562,1.08
114003.27,2137.42,20546.42,68242.12,47643.48,43420.23,203.5,0.97
1254201.12,689710.71,102844.25,282357.34,178368.65,281503.4,629.67,0.87
159412.07,74533.49,54501.62,61965.18,7350.47,22831.21,82.19,1.66
423839.41,261367.48,86740.85,109148.95,17223.1,53102.06,220.92,1.02
3489057.04,186562.39,887121.16,1048425.58,161276.62,2247768.56,6300.51,1.37
462412.85,7918.05,22061.56,80307.58,55252.69,369483.25,4703.97,1.59
287195.89,160686.42,56308.21,87938.44,31630.23,38524.03,47,1.53
1208035.4,555816.37,330740.57,415160.56,81893.32,227846.11,9212.36,0.79
119743.9,47857.66,27652.92,37856.96,8201.54,32486.05,1543.23,1.29
2057899.39,896361.8,503163.84,585212.29,55896.78,569685.24,6640.06,1.06
274560.95,81352.87,91738.58,93775.17,2026.59,94454.59,4978.32,1.47
285128.95,89984.49,102188.75,105947.27,3730.86,87015.16,2182.03,1.18
404548.13,122866.5,49298.88,55460.24,868.99,225425.46,795.93,1.2
444013.66,174486.03,101946.55,110648.22,6750.08,137655.83,21223.58,1.48
620908.22,173434.03,82363.32,86116.23,407.28,354307.59,7050.37,1.8
310343.81,139889.99,74082.72,110832.24,35393.69,57049.49,2572.09,1.32
6526488.94,3540683.7,1496503.74,1921343.33,401617.34,1042887.71,21574.2,0.93
4992701.64,1897606.32,834407.94,1895585.8,1059745.36,1188251.05,11258.47,0.97
197546.49,109797.39,61599.32,72282.3,10532.93,15410.99,55.81,1.47
63453.06,2063.37,21108.83,24963.1,3854.27,36408.59,18,1.5
35634913.01,11943914.54,8404955.25,11632752.41,3122650.26,11659897.51,398348.55,1.03
6311280.51,2072496.16,916284.35,2157590.99,1234707.82,1969142.59,112050.77,1.18
841019.69,466853.14,128328.66,289899.22,161570.56,55790.06,28477.27,0.84
168190.37,13533.32,23485.14,79244.89,55219.75,75344.69,67.47,1.19
1616898.5,807933.71,477107.45,571546.84,75376.35,231111.57,6306.38,0.74
283265.66,11150.75,60822.76,62110.22,386.35,209791.73,212.96,1.42
130566.55,37508.86,42692.52,62442.56,19050.04,30307.97,307.16,0.87
7508650.27,480603.9,1275859.94,1611198.54,329682.23,5402444.45,14403.38,1.22
2533937.56,1387712.4,474701.92,624154.93,149437.52,515698.93,6371.3,0.99
460708.82,192219.39,121675.53,128690.3,4729.22,122174.21,17624.92,1.26
102537.95,25067.66,22425.95,46365.32,23850.96,30621.77,483.2,1.2
880266.52,436282.38,99686.92,255847.5,155870.58,178669.53,9467.11,0.88
5579.38,2291.03,49.96,433,383.04,2855.35,0,2.01
11586.41,6527.12,923.3,923.3,0,3390.64,745.35,1.59
6986.04,19.93,6387.39,6477.42,90.03,488.69,0,1.26
5016.96,33.04,4814,4814,0,169.92,0,1.8
2948.39,389.52,460,460,0,1416.49,682.38,1.9
27490.93,614.02,350,350,0,26526.91,0,1.59
13070.44,251.86,1373.33,3514.5,2141.17,9304.08,0,1.17
10647.39,6628.99,3636.66,3639.99,3.33,378.41,0,1.48
45514.57,19911.52,4177.16,16654.26,12477.1,8929.9,18.89,1.22
1991.44,1015.15,160,160,0,816.29,0,1.66
87348.95,3971.27,4387.73,19909.18,15521.45,63468.5,0,1.5
3063.7,44.66,2744.67,2744.67,0,266.54,7.83,1.74
10800.6,6511.05,4188.16,4188.16,0,101.39,0,1.48
4169.57,110.38,820,3214.12,2394.12,845.07,0,1.08
5606.22,1979.71,408.49,509.14,100.65,3117.37,0,1.89
41636.8,17780.38,8466.32,8466.32,0,15390.1,0,1.56
1347.62,14.29,443.33,674.86,231.53,658.47,0,1.67
52253.69,2191.94,13112.36,15470.69,2358.33,31426.09,3164.97,1.76
4529.02,334.9,719.19,1761.31,1042.12,2364.7,68.11,1.57
18494.23,4117.08,200.3,6044.11,5843.81,7226.46,1106.58,1.65
40245.19,4205.24,16093.19,16099.27,6.08,19850.58,90.1,2.01
7199.17,7.88,6600.52,6600.52,0,590.77,0,1.87
3957.04,620.65,1390.65,1390.65,0,1921.1,24.64,1.87
17775.41,11276.67,726.67,1528.25,801.58,4970.49,0,1.65
23344.7,3959.16,4404.5,7041.34,2636.84,12315.78,28.42,1.82
24954.8,8938.08,0,1085.06,1085.06,14928.33,3.33,1.93
5749.75,56.66,2635.69,2720.44,84.75,2117.25,855.4,1.73
5971.62,89.37,793.33,799.44,6.11,5082.81,0,1.84
9164.67,4447.66,148.8,148.8,0,4568.21,0,1.65
14355.23,791.25,37.93,64.6,26.67,13499.38,0,2.04
46229.47,8112.46,0,0,0,37972.31,144.7,1.71
3977.03,456.99,1580,1744.2,164.2,1272.79,503.05,1.66
30582.99,8521.29,11330.12,11817.46,487.34,9414.03,830.21,1.9
6356.7,837.43,106.12,336.13,230.01,5183.14,0,1.58
1350.16,0,1235.94,1235.94,0,114.22,0,1.64
1346.16,915.05,414.55,414.55,0,16.56,0,1.84
556368.86,207494.87,95964.83,131808.1,35843.27,212312.02,4753.87,1.53
11341.36,5070.74,2216.67,3252.5,1035.83,3018.12,0,1.61
1705.39,14.07,1592.8,1592.8,0,98.52,0,1.65
17148.36,546.41,3424.06,3435.38,11.32,12485.25,681.32,1.85
1829.78,0,373.33,398.28,24.95,1431.5,0,1.65
7751.94,65.96,6918.32,6918.32,0,766.46,1.2,1.32
208956.81,28111.21,88974.66,96496.4,7521.74,84313.38,35.82,1.47
4713.35,370.07,1829.94,1829.94,0,2022.52,490.82,1.57
17064.45,488.59,629.95,9044.5,8414.55,7531.36,0,1.2
7507.51,371.44,590.47,2733.12,2142.65,4348.79,54.16,1.39
10777.27,4802.52,5384.85,5577.49,192.64,397.26,0,1.26
18837.12,848.8,768.46,9094.28,8325.82,8894.04,0,1.33
1643.43,258.14,450,468.44,18.44,916.85,0,1.33
5193.18,135.24,4853.24,4853.24,0,192.75,11.95,1.79
10501.75,29.41,6925.43,6937.31,11.88,3535.03,0,2.36
2583.94,114.51,1027.03,1416.7,389.67,1052.73,0,1.62
3706.68,1943.32,1593.33,1613.33,20,112.23,37.8,1.92
11858.2,2926.28,5100.95,5387.7,286.75,3544.22,0,1.3
4017.83,0,273.33,2341.83,2068.5,1676,0,1.08
6346.82,757.35,5548.26,5554.93,6.67,34.54,0,1.42
4534.36,209.22,27.22,2247.7,2220.48,2077.44,0,1.05
4106.49,588.36,3458.13,3518.13,60,0,0,1.41
32608.62,4923.95,9947.04,12973.12,3026.08,13005.25,1706.3,1.96
12400.93,0,12227.77,12227.77,0,173.16,0,1.58
5598.49,2770.42,2674.44,2674.44,0,153.63,0,1.68
8087.23,1880.06,2915.48,2966.94,51.46,3240.23,0,1.83
5896.38,608.4,5069.15,5090.53,21.38,197.45,0,1.44
51258.32,3340.91,8502.6,23879.91,15377.31,19357.61,4679.89,1.34
12807.68,226.31,6302.22,7317.57,1015.35,4839.49,424.31,1.81
8833.79,250.93,2973.38,3550.96,577.58,4755.75,276.15,1.37
4384.51,1687.59,462.37,462.37,0,2234.55,0,2.52
20997.51,2752.28,9927.64,9927.64,0,8317.59,0,1.43
21276.09,1014.44,31.11,31.11,0,20230.54,0,2.37
9465.99,479.32,3837.2,5136.42,1299.22,3496.18,354.07,1.66
110395.86,27167.11,46304.57,66461,20156.43,16727.91,39.84,1.11
3169.8,38.57,23.68,2485.67,2461.99,645.56,0,1.33
4788.38,398.73,2546.19,2546.19,0,1834.52,8.94,1.75
3082.71,1.25,797.23,2908.7,2111.47,172.76,0,2.06
1103488.85,144991.21,438024.44,620344.26,182319.82,334671.53,3481.85,1.52
250678.16,32114.27,64711.23,129230.25,64519.02,89178.52,155.12,1.31
2841.29,27.75,2631.39,2631.39,0,182.15,0,1.57
22122.61,564.97,4751.26,11293.91,6542.65,10263.73,0,1.61
21623.61,1775.21,9074.7,9158.51,83.81,10428.06,261.83,1.81
30044.2,15.95,28907.37,28925.15,17.78,1103.1,0,1.56
4934.21,7.22,1050,4083.25,3033.25,843.74,0,2.16
164137.04,31267.65,50963.98,67432.96,16468.98,65430.27,6.16,1.46
13896.65,51.92,8824.49,8831.16,6.67,5013.57,0,1.71
25025,303.25,996.03,19953.63,18957.6,4768.12,0,0.83
21044.41,5229.44,15488.25,15519.43,31.18,295.54,0,1.63
25731.81,11850.59,551.17,11275.63,10724.46,2544.28,61.31,1.44
18985.89,766.98,1146.24,12299.27,11153.03,5919.64,0,0.82
180253.26,3467.06,109113,124087.1,14974.1,52244.98,0,1.72
10398.91,282.24,9660.85,9660.85,0,444.34,11.48,2.13
25590.34,9524.47,15635.18,15951.85,316.67,114.02,0,1.36
8976.09,139.95,5339.72,7523.68,2183.96,1290.13,0,1.41
4455.27,682.39,1867.31,3570.46,1703.15,192.24,10.18,1.47
62337.67,8390.23,36097.73,36142.19,44.46,17805.25,0,1.98
4520.86,0,10,3029.92,3019.92,1490.94,0,1.45
3626.55,398.22,1155.56,3224.32,2068.76,4.01,0,1.41
8917.5,104.37,1601.56,6312.99,4711.43,2500.14,0,2.24
3722.76,353.11,2418.72,3369.65,950.93,0,0,1.57
237711.39,14885.87,186448.83,189214.19,2765.36,33389.98,221.35,1.67
16939.38,6,16652.03,16652.03,0,281.35,0,1.68
4382.2,1487.35,1185.55,2776.59,1591.04,118.26,0,2.06
10290.71,2207.93,6267.02,6271.08,4.06,1811.7,0,1.93
2644.9,225.97,2304.62,2307.95,3.33,110.98,0,1.56
49505.09,4305.53,16105.53,27406.37,11300.84,16857.63,935.56,1.55
10297.07,89.79,5319.2,5747.2,428,4298.97,161.11,2.92
10361.33,597.65,3554.8,4549.05,994.25,5030.44,184.19,1.77
7034.37,1965.07,2645.56,2645.56,0,2423.74,0,1.72
12594.87,819.66,4871.67,4905,33.33,6870.21,0,2.37
17686.1,6727.84,3043.99,3043.99,0,7914.27,0,2.9
15261.11,132.44,10955.01,12171.16,1216.15,2891.29,66.22,1.69
183857.14,38447.04,122121.81,136324.59,14202.78,9085.51,0,1.17
58686.47,4163.56,21717.79,41513.94,19796.15,12655.77,353.2,1.36
5157.52,101.21,101.11,3948.97,3847.86,1107.34,0,2.69
3223.81,0,958.29,3113.94,2155.65,109.87,0,2.08
1217680.36,94279.26,647239.76,863843.93,216359.41,258003.98,1003.84,1.54
162321.68,29482.82,36399.26,74117.56,37715.36,57477.12,1244.18,2.16
25777.67,2208.27,17821.27,17861.96,40.69,5671.84,35.6,1.24
12131.04,542.58,5283.46,11484.84,6201.38,103.62,0,1.23
28078.4,4681.33,22690.02,22959.42,269.4,437.65,0,1.34
17404.84,142.97,8736.09,8736.09,0,8510.44,15.34,1.94
3245.58,1.27,1853.15,2208.15,355,1036.16,0,1.48
215742.94,11683.16,167900.81,176974.2,9073.39,26922.85,162.73,1.75
63884.71,4071.65,29216.82,43274.22,14057.4,16536.4,2.44,1.73
16746.82,5150.82,2229.69,2229.69,0,9366.31,0,2.06
8210.37,1426.49,3427.78,4331.38,903.6,2452.5,0,1.82
